"","Site","Sampling_date","Sampling_time","Watershed","Location","Samplers","Rainfall_(inches)","Flow_rate_(0-5)","Water_turbidity_(0-3)","Water_temperature_(degrees C)","Total_dissolved_solids_(mg/L)","Conductivity_(µS)","Salinity_(ppm)","Notes","Lat","Long","...17"
"1","WBAC_U","08/13/2021",NA,"West Branch Alum Creek","Upstream","CH, BL, KM, SB, JP",NA,1,1,24.8,"648",934,"448",NA,"40.464786","-82.854767",NA
"2","WBAC_U","09/03/2021",1899-12-31 11:00:00,"West Branch Alum Creek",NA,"CH, BL, SB",NA,1,1,20.1,"771",1098,"540",NA,"40.464787","-82.854768",NA
"3","WBAC_U","09/17/2021",1899-12-31 11:00:00,"West Branch Alum Creek",NA,"BL, KM",NA,0,NA,NA,NA,NA,NA,"No Water","40.464788","-82.854769",NA
"4","WBAC_U","10/01/2021",1899-12-31 10:51:00,"West Branch Alum Creek",NA,"CH, KM, BK",NA,1,1,18.1,"669",957,"452",NA,"40.464789","-82.854770",NA
"5","WBAC_U","10/15/2021",1899-12-31 10:42:00,"West Branch Alum Creek",NA,"CH, KM, CO",NA,1,1,20.6,"1377?",1365,"970?",NA,"40.464790","-82.854771",NA
"6","WBAC_U","11/05/2021",1899-12-31 11:00:00,"West Branch Alum Creek",NA,"BL, KM, WP",NA,0,0,8,"446",635,"304",NA,"40.464791","-82.854772",NA
"7","WBAC_U","11/19/2021",1899-12-31 11:20:00,"West Branch Alum Creek",NA,"BL. KM",NA,2,2,8.9,"369",527,"252",NA,"40.464792","-82.854773",NA
"8","WBAC_U","12/05/2021",NA,"West Branch Alum Creek",NA,"CH, JP",NA,2,1,7.3,"426",609,"294",NA,"40.464793","-82.854774",NA
"9","WBAC_U","12/17/2021",NA,"West Branch Alum Creek",NA,"CH, SB",NA,3,1,7,"391",558,"266",NA,"40.464794","-82.854775",NA
"10","WBAC_U","12/30/2021",1899-12-31 10:45:00,"West Branch Alum Creek",NA,"SB, KM",NA,4,3,6.7,"151",217,"101",NA,"40.464795","-82.854776",NA
"11","WBAC_D1","08/13/2021",NA,"West Branch Alum Creek","Downstream 1","CH, BL, KM, SB, JP",NA,1,1,26.1,"569",806,"396",NA,"40.450493","-82.873151",NA
"12","WBAC_D1","09/03/2021",1899-12-31 11:20:00,"West Branch Alum Creek",NA,"CH, BL, SB",NA,2,0,19.5,"613",874,"408",NA,"40.450494","-82.873152",NA
"13","WBAC_D1","09/17/2021",1899-12-31 11:20:00,"West Branch Alum Creek",NA,"BL, KM",NA,1,1,22.7,"675",969,"472",NA,"40.450495","-82.873153",NA
"14","WBAC_D1","10/01/2021",1899-12-31 11:01:00,"West Branch Alum Creek",NA,"CH, KM, BK",NA,2,1,17.8,"602",864,"420",NA,"40.450496","-82.873154",NA
"15","WBAC_D1","10/15/2021",1899-12-31 11:00:00,"West Branch Alum Creek",NA,"CH, KM, CO",NA,2,1,21.7,"636",915,"447",NA,"40.450497","-82.873155",NA
"16","WBAC_D1","11/05/2021",1899-12-31 11:15:00,"West Branch Alum Creek",NA,"BL, KM, WP",NA,1,0,4.9,"560",812,"392",NA,"40.450498","-82.873156",NA
"17","WBAC_D1","11/19/2021",1899-12-31 11:32:00,"West Branch Alum Creek",NA,"BL, KM",NA,2,3,6.8,"353",525,"250",NA,"40.450499","-82.873157",NA
"18","WBAC_D1","12/05/2021",1899-12-31 12:04:00,"West Branch Alum Creek",NA,"CH, JP",NA,2,1,4.8,"516",748,"357",NA,"40.450500","-82.873158",NA
"19","WBAC_D1","12/17/2021",NA,"West Branch Alum Creek",NA,"CH, SB",NA,1,1,6.2,"508",735,"353",NA,"40.450501","-82.873159",NA
"20","WBAC_D1","12/30/2021",NA,"West Branch Alum Creek",NA,"SB, KM",NA,4,3,4.8,"230",327,"157",NA,"40.450502","-82.873160",NA
"21","WBAC_D2","08/13/2021",NA,"West Branch Alum Creek","Downstream 2","CH, BL, KM, SB, JP",NA,2,0,28.4,"606",863,"417",NA,"40.437762","-82.880638",NA
"22","WBAC_D2","09/03/2021",1899-12-31 11:30:00,"West Branch Alum Creek",NA,"CH, BL, SB",NA,1,0,21.7,"630",923,"444",NA,"40.437763","-82.880639",NA
"23","WBAC_D2","09/17/2021",1899-12-31 11:35:00,"West Branch Alum Creek",NA,"BL, KM",NA,1,1,25.3,"678",970,"474",NA,"40.437764","-82.880640",NA
"24","WBAC_D2","10/01/2021",1899-12-31 11:20:00,"West Branch Alum Creek",NA,"CH, KM, BK",NA,1,2,17.9,"684",982,"479",NA,"40.437765","-82.880641",NA
"25","WBAC_D2","10/15/2021",1899-12-31 11:12:00,"West Branch Alum Creek",NA,"CH, KM, CO",NA,2,1,21.3,"689",985,"481",NA,"40.437766","-82.880642",NA
"26","WBAC_D2","11/05/2021",1899-12-31 11:25:00,"West Branch Alum Creek",NA,"BL, KM, WP",NA,3,1,7.2,"611",859,"429",NA,"40.437767","-82.880643",NA
"27","WBAC_D2","11/19/2021",1899-12-31 11:45:00,"West Branch Alum Creek",NA,"BL, KM",NA,3,3,6.3,"398",568,"273",NA,"40.437768","-82.880644",NA
"28","WBAC_D2","12/05/2021",NA,"West Branch Alum Creek",NA,"CH, JP",NA,3,0,5.3,"555",790,"384",NA,"40.437769","-82.880645",NA
"29","WBAC_D2","12/17/2021",NA,"West Branch Alum Creek",NA,"CH, SB",NA,4,0,7.7,"541",769,"375",NA,"40.437770","-82.880646",NA
"30","WBAC_D2","12/30/2021",1899-12-31 11:10:00,"West Branch Alum Creek",NA,"SB, KM",NA,4,3,7.5,"291",417,"195",NA,"40.437771","-82.880647",NA
"31","HAC_U","08/13/2021",NA,"Headwaters Alum Creek","Upstream","CH, BL, KM, SB, JP",NA,2,0,26,"525",750,"364",NA,"40.418595","-82.852719",NA
"32","HAC_U","09/03/2021",1899-12-31 11:42:00,"Headwaters Alum Creek",NA,"CH, BL, SB",NA,2,1,20.5,"470",668,"325",NA,"40.418596","-82.852720",NA
"33","HAC_U","09/17/2021",1899-12-31 11:50:00,"Headwaters Alum Creek",NA,"BL, KM",NA,2,2,24,"565",808,"391",NA,"40.418597","-82.852721",NA
"34","HAC_U","10/01/2021",1899-12-31 11:38:00,"Headwaters Alum Creek",NA,"CH, KM, BK",NA,2,0,17.3,"532",760,"368",NA,"40.418598","-82.852722",NA
"35","HAC_U","10/15/2021",1899-12-31 11:25:00,"Headwaters Alum Creek",NA,"CH, KM, CO",NA,2,1,21.4,"585",834,"407",NA,"40.418599","-82.852723",NA
"36","HAC_U","11/05/2021",1899-12-31 11:40:00,"Headwaters Alum Creek",NA,"BL, KM, WP",NA,3,0,8.4,"525",750,"350",NA,"40.418600","-82.852724",NA
"37","HAC_U","11/19/2021",1899-12-31 12:00:00,"Headwaters Alum Creek",NA,"BL, KM",NA,3,3,6.2,"348",498,"238",NA,"40.418601","-82.852725",NA
"38","HAC_U","12/05/2021",NA,"Headwaters Alum Creek",NA,"CH, JP",NA,3,0,4.9,"496",705,"336",NA,"40.418602","-82.852726",NA
"39","HAC_U","12/17/2021",NA,"Headwaters Alum Creek",NA,"CH, SB",NA,3,1,8.9,"479",682,"326",NA,"40.418603","-82.852727",NA
"40","HAC_U","12/30/2021",1899-12-31 11:25:00,"Headwaters Alum Creek",NA,"SB, KM",NA,NA,NA,7.4,"312",453,"216",NA,"40.418604","-82.852728",NA
"41","HAC_D","08/13/2021",NA,"Headwaters Alum Creek","Upstream","CH, BL, KM, SB, JP",NA,3,0,26.5,"490",684,"339",NA,"40.374121","-82.887075",NA
"42","HAC_D","09/03/2021",1899-12-31 12:00:00,"Headwaters Alum Creek",NA,"CH, BL, SB",NA,3,0,20.7,"475",680,"326",NA,"40.374122","-82.887076",NA
"43","HAC_D","09/17/2021",1899-12-31 12:10:00,"Headwaters Alum Creek",NA,"BL, KM",NA,2,0,23.4,"517",740,"358",NA,"40.374123","-82.887077",NA
"44","HAC_D","10/01/2021",1899-12-31 11:58:00,"Headwaters Alum Creek",NA,"CH, KM, BK",NA,3,0,18.1,"492",702,"340",NA,"40.374124","-82.887078",NA
"45","HAC_D","10/15/2021",1899-12-31 11:40:00,"Headwaters Alum Creek",NA,"CH, KM, CO",NA,3,0,20.9,"544",780,"375",NA,"40.374125","-82.887079",NA
"46","HAC_D","11/05/2021",1899-12-31 12:00:00,"Headwaters Alum Creek",NA,"BL, KM, WP",NA,3,0,7.1,"485",696,"336",NA,"40.374126","-82.887080",NA
"47","HAC_D","11/19/2021",1899-12-31 12:20:00,"Headwaters Alum Creek",NA,"BL, KM",NA,3,2,7.6,"356",512,"245",NA,"40.374127","-82.887081",NA
"48","HAC_D","12/05/2021",1899-12-31 12:30:00,"Headwaters Alum Creek",NA,"CH, JP",NA,3,0,4.5,"494",713,"343",NA,"40.374128","-82.887082",NA
"49","HAC_D","12/17/2021",NA,"Headwaters Alum Creek",NA,"CH, SB",NA,3,1,8.2,"473",686,"330",NA,"40.374129","-82.887083",NA
"50","HAC_D","12/30/2021",1899-12-31 11:40:00,"Headwaters Alum Creek",NA,"SB, KM",NA,4,3,8.4,"311",444,"212",NA,"40.374130","-82.887084",NA
"51","HAC_I","08/13/2021",NA,"Headwaters Alum Creek","Intermediate 2","CH, BL, KM, SB, JP",NA,3,0,27.9,"494",705,"335",NA,"40.394997","-82.872194",NA
"52","HAC_I","09/03/2021",1899-12-31 12:15:00,"Headwaters Alum Creek",NA,"CH, BL, SB",NA,3,0,20.7,"455",656,"314",NA,"40.394998","-82.872195",NA
"53","HAC_I","09/17/2021",1899-12-31 12:25:00,"Headwaters Alum Creek",NA,"BL, KM",NA,2,0,23.6,"534",763,"370",NA,"40.394999","-82.872196",NA
"54","HAC_I","10/01/2021",1899-12-31 12:19:00,"Headwaters Alum Creek",NA,"CH, KM, BK",NA,3,0,19,"495",717,"347",NA,"40.395000","-82.872197",NA
"55","HAC_I","10/15/2021",1899-12-31 11:55:00,"Headwaters Alum Creek",NA,"CH, KM, CO",NA,3,0,21.6,"569",787,"395",NA,"40.395001","-82.872198",NA
"56","HAC_I","11/05/2021",1899-12-31 12:15:00,"Headwaters Alum Creek",NA,"BL, KM, WP",NA,3,0,5.9,"513",729,"355",NA,"40.395002","-82.872199",NA
"57","HAC_I","11/19/2021",1899-12-31 12:00:00,"Headwaters Alum Creek",NA,"BL, KM",NA,3,1,7,"350",497,"240",NA,"40.395003","-82.872200",NA
"58","HAC_I","12/05/2021",1899-12-31 12:50:00,"Headwaters Alum Creek",NA,"CH, JP",NA,3,0,5,"484",693,"334",NA,"40.395004","-82.872201",NA
"59","HAC_I","12/17/2021",NA,"Headwaters Alum Creek",NA,"CH, SB",NA,3,1,7.7,"475",684,"328",NA,"40.395005","-82.872202",NA
"60","HAC_I","12/30/2021",1899-12-31 12:00:00,"Headwaters Alum Creek",NA,"SB, KM",NA,4,2,7.8,"318",445,"210",NA,"40.395006","-82.872203",NA
"61","HAC_I2","08/13/2021",NA,"Headwaters Alum Creek","Intermediate 1","CH, BL, KM, SB, JP",NA,2,0,26.9,"502",727,"352",NA,"40.406179","-82.862928",NA
"62","HAC_I2","09/03/2021",1899-12-31 12:25:00,"Headwaters Alum Creek",NA,"CH, BL, SB",NA,3,1,21.1,"471",678,"326",NA,"40.406180","-82.862929",NA
"63","HAC_I2","09/17/2021",1899-12-31 12:45:00,"Headwaters Alum Creek",NA,"BL, KM",NA,2,1,25.2,"548",782,"371",NA,"40.406181","-82.862930",NA
"64","HAC_I2","10/01/2021",1899-12-31 12:24:00,"Headwaters Alum Creek",NA,"CH, KM, BK",NA,3,0,19.6,"501",710,"347",NA,"40.406182","-82.862931",NA
"65","HAC_I2","10/15/2021",1899-12-31 12:06:00,"Headwaters Alum Creek",NA,"CH, KM, CO",NA,3,0,21.1,"581",827,"399",NA,"40.406183","-82.862932",NA
"66","HAC_I2","11/05/2021",1899-12-31 12:30:00,"Headwaters Alum Creek",NA,"BL, KM, WP",NA,3,0,8.6,"518",738,"357",NA,"40.406184","-82.862933",NA
"67","HAC_I2","11/19/2021",1899-12-31 12:50:00,"Headwaters Alum Creek",NA,"BL, KM",NA,3,3,6.8,"353",504,"240",NA,"40.406185","-82.862934",NA
"68","HAC_I2","12/05/2021",NA,"Headwaters Alum Creek",NA,"CH, JP",NA,3,0,5.2,"489",693,"330",NA,"40.406186","-82.862935",NA
"69","HAC_I2","12/17/2021",NA,"Headwaters Alum Creek",NA,"CH, SB",NA,3,1,6.1,"482",688,"333",NA,"40.406187","-82.862936",NA
"70","HAC_I2","12/30/2021",NA,"Headwaters Alum Creek",NA,"SB, KM",NA,3,2,8.3,"311",450,"214",NA,"40.406188","-82.862937",NA
"71","HBWC _D","08/13/2021",NA,"Headwaters Big Walnut Creek","Downstream","CH, BL, KM, SB, JP",NA,2,1,27.9,"659",937,"458",NA,"40.39195","-82.778737",NA
"72","HBWC _D","09/03/2021",1899-12-31 12:45:00,"Headwaters Big Walnut Creek",NA,"CH, BL, SB",NA,2,1,23.8,"653",943,"458",NA,"40.39196","-82.778738",NA
"73","HBWC _D","09/17/2021",1899-12-31 13:05:00,"Headwaters Big Walnut Creek",NA,"BL, KM",NA,1,1,24.7,"729",1049,"513",NA,"40.39197","-82.778739",NA
"74","HBWC _D","10/01/2021",1899-12-31 12:55:00,"Headwaters Big Walnut Creek",NA,"CH, KM, BK",NA,1,1,19.7,"629",893,"434",NA,"40.39198","-82.778740",NA
"75","HBWC _D","10/15/2021",1899-12-31 12:25:00,"Headwaters Big Walnut Creek",NA,"CH, KM, CO",NA,2,1,22.1,"683",990,"481",NA,"40.39199","-82.778741",NA
"76","HBWC _D","11/05/2021",1899-12-31 12:50:00,"Headwaters Big Walnut Creek",NA,"BL, KM, WP",NA,3,2,10,"599",860,"418",NA,"40.39200","-82.778742",NA
"77","HBWC _D","11/19/2021",1899-12-31 13:05:00,"Headwaters Big Walnut Creek",NA,"BL, KM",NA,3,2,7.9,"473",684,"328",NA,"40.39201","-82.778743",NA
"78","HBWC _D","12/05/2021",1899-12-31 13:15:00,"Headwaters Big Walnut Creek",NA,"CH, JP",NA,3,0,6.1,"539",779,"376",NA,"40.39202","-82.778744",NA
"79","HBWC _D","12/17/2021",NA,"Headwaters Big Walnut Creek",NA,"CH, SB",NA,4,3,7.3,"520",743,"358",NA,"40.39203","-82.778745",NA
"80","HBWC _D","12/30/2021",1899-12-31 12:30:00,"Headwaters Big Walnut Creek",NA,"SB, KM",NA,4,2,9.1,"343",485,"235",NA,"40.39204","-82.778746",NA
"81","LWC _D","08/13/2021",NA,"Little Walnut Creek","Downstream","CH, BL, KM, SB, JP",NA,3,0,25.4,"1115",1612,"798",NA,"40.235749","-82.897331",NA
"82","LWC _D","09/03/2021",1899-12-31 13:20:00,"Little Walnut Creek",NA,"CH, BL, SB",NA,3,0,20.1,"761",1089,"534",NA,"40.235750","-82.897332",NA
"83","LWC _D","09/17/2021",1899-12-31 14:00:00,"Little Walnut Creek",NA,"BL, KM",NA,3,0,24.1,"1189",1696,"854",NA,"40.235751","-82.897333",NA
"84","LWC _D","10/01/2021",1899-12-31 12:24:00,"Little Walnut Creek",NA,"CH, KM, BK",NA,3,0,21,"1075",1606,"805",NA,"40.235752","-82.897334",NA
"85","LWC _D","10/15/2021",1899-12-31 12:06:00,"Little Walnut Creek",NA,"CH, KM, CO",NA,3,0,18.2,"1105",1582,"791",NA,"40.235753","-82.897335",NA
"86","LWC _D","11/05/2021",1899-12-31 12:30:00,"Little Walnut Creek",NA,"BL, KM, WP",NA,3,0,12.2,"959",1372,"679",NA,"40.235754","-82.897336",NA
"87","LWC _D","11/19/2021",1899-12-31 13:40:00,"Little Walnut Creek",NA,"BL, KM",NA,3,1,8.3,"571",816,"398",NA,"40.235755","-82.897337",NA
"88","LWC _D","12/05/2021",1899-12-31 13:49:00,"Little Walnut Creek",NA,"CH, JP",NA,3,1,7.5,"910",1287,"647",NA,"40.235756","-82.897338",NA
"89","LWC _D","12/17/2021",NA,"Little Walnut Creek",NA,"CH, SB",NA,3,1,8.5,"777",1135,"554",NA,"40.235757","-82.897339",NA
"90","LWC _D","12/30/2021",1899-12-31 13:15:00,"Little Walnut Creek",NA,"SB, KM",NA,3,2,9.3,"319",451,"213",NA,"40.235758","-82.897340",NA
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
